episode_id,start_date,end_date,n_markets,n_index_events
GE001,1966-08-18,1966-08-18,1,1
GE002,1968-04-01,1968-04-01,1,1
GE003,1968-07-02,1968-07-02,1,1
GE004,1969-07-10,1969-07-10,1,1
GE005,1970-01-16,1970-01-16,1,1
GE006,1970-04-14,1970-04-14,1,1
GE007,1973-04-24,1973-04-24,1,1
GE008,1973-09-14,1973-09-14,1,1
GE009,1974-04-23,1974-04-23,1,1
GE010,1975-07-09,1975-07-09,1,1
GE011,1976-01-05,1976-01-05,1,1
GE012,1978-10-16,1978-10-16,1,1
GE013,1980-01-02,1980-01-02,1,1
GE014,1980-02-20,1980-02-20,1,1
GE015,1981-05-26,1981-05-26,1,1
GE016,1981-08-24,1981-08-24,1,1
GE017,1982-01-05,1982-01-05,1,1
GE018,1982-10-06,1982-10-06,1,1
GE019,1987-10-06,1987-10-07,2,2
GE020,1987-10-16,1987-10-19,2,2
GE021,1990-03-19,1990-03-19,1,1
GE022,1990-07-27,1990-08-02,2,2
GE023,1990-09-27,1990-09-27,1,1
GE024,1990-12-19,1990-12-19,1,1
GE025,1992-03-19,1992-03-19,1,1
GE026,1992-07-17,1992-07-17,1,1
GE027,1992-09-03,1992-09-03,1,1
GE028,1992-09-21,1992-09-21,1,1
GE029,1993-11-04,1993-11-04,1,1
GE030,1993-12-27,1993-12-27,1,1
GE031,1994-10-04,1994-10-04,1,1
GE032,1994-12-01,1994-12-01,1,1
GE033,1994-12-13,1994-12-13,1,1
GE034,1995-04-03,1995-04-03,1,1
GE035,1995-09-25,1995-09-25,1,1
GE036,1996-12-24,1996-12-24,1,1
GE037,1997-03-31,1997-03-31,1,1
GE038,1997-08-04,1997-08-06,2,2
GE039,1997-08-13,1997-08-15,2,2
GE040,1997-10-08,1997-10-10,2,2
GE041,1997-10-16,1997-10-23,9,9
GE042,1997-11-19,1997-11-19,1,1
GE043,1998-04-01,1998-04-01,1,1
GE044,1998-04-27,1998-04-27,1,1
GE045,1998-05-29,1998-05-29,1,1
GE046,1998-07-21,1998-07-28,4,4
GE047,1998-08-04,1998-08-11,6,6
GE048,1998-08-24,1998-08-27,3,3
GE049,1998-10-08,1998-10-08,1,1
GE050,1998-12-30,1999-01-06,7,7
GE051,1999-01-07,1999-01-08,2,2
GE052,1999-03-02,1999-03-02,1,1
GE053,1999-04-09,1999-04-16,2,2
GE054,1999-05-14,1999-05-14,1,1
GE055,1999-07-13,1999-07-13,1,1
GE056,1999-07-23,1999-07-23,2,2
GE057,1999-09-27,1999-09-27,1,1
GE058,1999-10-15,1999-10-15,1,1
GE059,1999-11-11,1999-11-11,1,1
GE060,1999-12-24,1999-12-30,3,3
GE061,2000-01-03,2000-01-04,2,2
GE062,2000-01-17,2000-01-17,1,1
GE063,2000-02-02,2000-02-02,1,1
GE064,2000-02-14,2000-02-17,2,2
GE065,2000-04-03,2000-04-03,1,1
GE066,2000-04-17,2000-04-17,1,1
GE067,2000-05-09,2000-05-11,3,3
GE068,2000-06-27,2000-06-27,1,1
GE069,2000-08-31,2000-09-06,2,2
GE070,2000-09-14,2000-09-15,2,2
GE071,2000-09-28,2000-09-28,1,1
GE072,2000-10-06,2000-10-10,3,3
GE073,2000-12-12,2000-12-18,2,2
GE074,2001-02-16,2001-02-16,2,2
GE075,2001-03-01,2001-03-01,1,1
GE076,2001-03-09,2001-03-14,8,8
GE077,2001-03-19,2001-03-20,2,2
GE078,2001-07-03,2001-07-06,2,2
GE079,2001-08-17,2001-08-22,2,2
GE080,2001-08-30,2001-09-06,4,4
GE081,2001-09-07,2001-09-12,3,3
GE082,2001-10-08,2001-10-08,1,1
GE083,2001-11-05,2001-11-05,1,1
GE084,2001-11-19,2001-11-19,1,1
GE085,2001-12-31,2001-12-31,1,1
