episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window,outcome,forward_return_h,worst_forward_drawdown_h,vol_scaled_move_unit,outcome_complete,outcome_horizon
11,1889,1889,1901,2000-10-20,2000-10-20,2000-11-07,12,13,0.2696195318056641,0.16187006588124445,-0.07950952417675639,1.1900080695667297,-0.005960438855508288,0.01689351800408092,-0.07982595126126107,mixed,-0.0484690277973755,-0.061016209256384846,0.10741899268315808,True,40
12,1909,1909,1927,2000-11-17,2000-11-17,2000-12-14,4,19,0.2121505813097542,0.16349835700253557,-0.10099523892634343,1.0698038501620335,-0.016115523262625997,0.00011400687327081833,-0.058859775601508985,relapse,-0.01058849025127484,-0.07321532977712353,0.08452281475611358,True,40
13,1936,1936,1958,2000-12-28,2000-12-28,2001-01-31,15,23,0.2810685623115018,0.1669932533783187,-0.11752606819740796,0.8367546285936864,-0.09400371885005451,0.05747494601916221,-0.07236914919648708,mixed,-0.05443322819778984,-0.06550178170825516,0.11198039561973122,True,40
14,1981,1981,1999,2001-03-06,2001-03-06,2001-03-30,7,19,0.1955438598514125,0.16895090735002743,-0.14846561165244132,0.949214090391835,-0.0448584961845383,-0.0028508418691090883,-0.06490943520509498,relapse,0.008564728149455414,-0.12209768155991951,0.07790653855802777,True,40
15,2006,2006,2021,2001-04-10,2001-04-10,2001-05-02,10,16,0.3257166140371877,0.1715115912775405,-0.18403322674658706,0.9951017748383892,-0.032640251441965695,0.0551577560721028,-0.0771633948266821,recovery,0.09892808409163223,0.0006862154821780653,0.1297686052109251,True,40
16,2072,2072,2085,2001-07-16,2001-07-16,2001-08-02,9,14,0.172827178904591,0.17236449980102736,-0.12000869507056389,1.2533505544256758,-0.013299241305613801,0.00840226161126621,-0.04844388261431379,relapse,-0.13594542725217096,-0.13594542725217096,0.06885599623244025,True,40
17,2119,2119,2133,2001-09-26,2001-09-26,2001-10-16,15,15,0.3214259006196952,0.17386873970487862,-0.2247761242708315,1.0988074137166948,-0.08433164125469172,-0.001772929001569683,-0.11960770140888388,recovery,0.12476504006527045,0.008678679987198512,0.12805914406724445,True,40
18,2176,2176,2179,2001-12-17,2001-12-17,2001-12-20,3,4,0.1841577509619178,0.17724481349576013,-0.0757467315289656,0.9335128040292842,-0.05394935856084401,-0.0006994921972065752,-0.04604167497274748,relapse,-0.01623789455164859,-0.05170455908578375,0.0733702041934542,True,40
19,2213,2213,2225,2002-02-11,2002-02-11,2002-02-28,7,13,0.2053141932173655,0.17706439446564676,-0.05696258638432694,0.8508186036690488,-0.14411649829365591,0.014370849126311116,-0.046662983412383674,mixed,0.020584019966867206,-0.02817649751504059,0.08179913254526824,True,40
20,2268,2268,2284,2002-05-01,2002-05-01,2002-05-23,7,17,0.179814101250861,0.17748406142691076,-0.07041276805819985,0.9890048467525104,0.029782176056096094,-0.0021040435441054845,-0.049858296622781684,relapse,-0.08612226560766734,-0.1033092802946265,0.07163965272559349,True,40
21,2309,2309,2309,2002-06-28,2002-06-28,2002-06-28,1,1,0.2329245765347654,0.18017690976690257,-0.1544860797281813,0.8983012305928512,-0.08677988209481921,-0.003228217491231384,-0.06972094300305709,relapse,-0.03738800748217497,-0.1920973719394048,0.09279937256381672,True,40
22,2331,2331,2350,2002-07-31,2002-07-31,2002-08-27,16,20,0.4289537359694462,0.18134607359439814,-0.22112859962026843,0.8858484106993008,-0.2307858202762964,0.07326495236765403,-0.12460999769519739,mixed,-0.055362205154429356,-0.0930465017368437,0.1708992591038513,True,40
23,2359,2359,2371,2002-09-10,2002-09-10,2002-09-26,5,13,0.2769126172102369,0.18336861621618752,-0.20183627188484443,0.6502109077298643,-0.1492455115140019,0.038009541075367234,-0.07609785560137257,relapse,0.006113491139057237,-0.1445011483360643,0.11032462745844625,True,40
24,2383,2383,2399,2002-10-14,2002-10-14,2002-11-05,11,17,0.3866739140675084,0.18472106393950835,-0.23079128244681213,1.1533237899833877,-0.0036766088989885204,0.06719698179214663,-0.06736408158292646,mixed,0.0717239298644139,0.022687584297579333,0.15405457485893162,True,40
25,2406,2406,2419,2002-11-14,2002-11-14,2002-12-04,6,14,0.2179923462883136,0.18616373996567034,-0.14767941419229214,0.9259502426787702,-0.055714729518560824,-0.0003310189621332747,-0.043831414906124376,mixed,0.03369503141062258,-0.03220519951332157,0.08685022963324088,True,40
26,2427,2427,2434,2002-12-16,2002-12-16,2002-12-26,4,8,0.2343630492521039,0.18718386106897442,-0.07412369475961722,0.9964184239980374,-0.0067076765345669975,0.023738250130574623,-0.05043767611215237,relapse,-0.0970730276408055,-0.09981301856212754,0.09337247381232006,True,40
27,2458,2458,2476,2003-01-31,2003-01-31,2003-02-27,6,19,0.2102507722443927,0.18925763243493124,-0.10148772091891023,1.189766271010066,-0.011790973852288389,-0.0037113576906432875,-0.06324983962088548,relapse,-0.011375319550961493,-0.0643738885183951,0.08376591270704928,True,40
28,2491,2491,2510,2003-03-20,2003-03-20,2003-04-16,10,20,0.2342949934805638,0.19051318786157423,-0.06043980552210182,0.9909905776574385,-0.0799537262333623,0.049890394153054414,-0.03349486032598069,recovery,0.08056399544246107,-0.034815663827247545,0.09334535974392837,True,40
29,3602,3602,3616,2007-08-17,2007-08-17,2007-09-07,7,15,0.2449461057267943,0.16144155665523152,-0.06680861181386122,0.8349277486000174,-0.07111951305125333,-1.8388068845354155e-16,-0.06045735809160738,recovery,0.07625591037697599,-0.006841007877321781,0.09758886443657057,True,40
30,3664,3664,3677,2007-11-14,2007-11-14,2007-12-04,4,14,0.222241127151394,0.16202272622042369,-0.05630128768709053,1.1182727021978593,-0.03265763128429419,-0.0016246262260873772,-0.04456010915639648,mixed,-0.038191597383221754,-0.054326348991252216,0.08854298444735627,True,40
31,3693,3693,3718,2007-12-27,2007-12-27,2008-02-04,10,26,0.1774759985450863,0.16360694500783615,-0.051289663283132225,0.8614859334255927,0.010077411858943591,0.01749217175251322,-0.047190326150728976,relapse,-0.0630463904784212,-0.11478331390714491,0.07070813031042546,True,40
32,3724,3724,3735,2008-02-12,2008-02-12,2008-02-28,11,12,0.235572482687251,0.1654612267843184,-0.13275271331242366,0.4872877823345185,-0.1631987412853629,0.006391615863306922,-0.07768623958251088,mixed,0.012617897179177273,-0.05178209188308369,0.09385432362657785,True,40
33,3753,3753,3761,2008-03-26,2008-03-26,2008-04-07,8,9,0.2803940864271015,0.16654415938310363,-0.14001631895924027,0.9839077097960822,-0.04921457918547112,0.001715224207131931,-0.04337613297157347,mixed,0.047222196689533646,-0.012687703559358887,0.1117116779952841,True,40
34,3809,3809,3813,2008-06-13,2008-06-13,2008-06-19,5,5,0.1831589623967311,0.16746969576253345,-0.08509490743280057,0.7969671374678535,-0.13665813627784668,-0.0010276266675122714,-0.04600597456018457,relapse,-0.03515210496971488,-0.10690112727338119,0.0729722773041918,True,40
35,3836,3836,3847,2008-07-23,2008-07-23,2008-08-07,5,12,0.202239195458588,0.16856160301977235,-0.09953658576016389,0.6022560810895414,-0.1056187073106359,0.03339853546107893,-0.050366237569639566,relapse,-0.06319729299295795,-0.0901923799948463,0.08057402411362492,True,40
36,3880,3880,3881,2008-09-24,2008-09-24,2008-09-25,2,2,0.3742323974576735,0.1707930458049036,-0.15961686778381867,1.1119863479184262,-0.08568331592777179,0.025470470523289924,-0.05918562915117498,relapse,-0.31472254693057256,-0.31472254693057256,0.14909775599373706,True,40
37,3900,3900,3916,2008-10-22,2008-10-22,2008-11-13,7,17,0.8689480566418832,0.1716199081921659,-0.35951929688086937,0.7819052583751338,-0.6522902828574376,0.006863960308998732,-0.22056355229498126,mixed,-0.014893992959095437,-0.1675860031210421,0.34619719244130065,True,40
38,3926,3926,3942,2008-11-28,2008-11-28,2008-12-22,13,17,0.6783765824141477,0.17296502315113704,-0.3315365334877822,0.9871159791327447,-0.15470481425261629,0.17733851917466734,-0.18925546973578888,mixed,-0.02209122714765044,-0.09840814094884132,0.2702716997346268,True,40
39,3947,3947,3974,2008-12-30,2008-12-30,2009-02-09,12,28,0.3436858644934255,0.17399798259771712,-0.30983357168968584,0.5587217949521667,-0.18029174968857758,0.021701156263619133,-0.05618783571347717,relapse,-0.16904567914016455,-0.16904567914016455,0.13692772595545527,True,40
40,3999,3999,4021,2009-03-17,2009-03-17,2009-04-17,16,23,0.4236878084843929,0.17610058566373848,-0.34782758793494173,0.839576299429756,-0.18413873757582783,0.07999034360665712,-0.10313426730800289,recovery,0.14243000676197148,-0.011775393253054989,0.16880126337557927,True,40
41,4027,4027,4027,2009-04-27,2009-04-27,2009-04-27,1,1,0.3214073962361518,0.17744563686031622,-0.1319884517644031,0.6335514425975561,-0.15170188934399428,0.028477059047349623,-0.04261190448174007,mixed,0.04677176029511454,-0.0031453970195164382,0.1280517717443747,True,40
42,4228,4228,4229,2010-02-11,2010-02-11,2010-02-12,2,2,0.204316030806767,0.17927476055907196,-0.06022906389975624,0.6262524932655992,-0.1479333069304969,0.015753241061563717,-0.05126524370414098,recovery,0.11193539084172666,-0.0008325922457909085,0.08140145512196507,True,40
43,4301,4301,4317,2010-05-27,2010-05-27,2010-06-21,10,17,0.3209726883723213,0.178620129275804,-0.09073327565920775,0.8573042063631928,-0.045153552639786876,0.029503242559145312,-0.0756411591150038,mixed,0.012016757528510835,-0.07289243341979579,0.12787857998585708,True,40
44,4328,4328,4346,2010-07-07,2010-07-07,2010-08-02,11,19,0.2279349020940725,0.18015424167438043,-0.12478092188285039,1.0533780377439919,-0.015814643926381905,0.018044145081361117,-0.056594031056479484,mixed,0.022171303208507354,-0.008269599926871596,0.09081143868288981,True,40
45,4375,4375,4376,2010-09-13,2010-09-13,2010-09-14,2,2,0.1839980775662906,0.1810506468225357,-0.07023833779045507,0.7179534843608468,-0.1271885737493196,0.016367621168224912,-0.042781133453503685,recovery,0.09249362670748007,-0.000620693294906216,0.0733065887899198,True,40
46,4608,4608,4622,2011-08-15,2011-08-15,2011-09-02,10,15,0.4355043590365506,0.1771791159419005,-0.11150334048685007,1.3161231938303626,-0.04317273266331367,0.0718269869205279,-0.1372874697301833,mixed,-0.0024931574809439194,-0.08391072562234336,0.17350908980344096,True,40
47,4628,4628,4641,2011-09-13,2011-09-13,2011-09-30,7,14,0.3043916709643159,0.17771257278393854,-0.13271734643753008,0.9653740460524883,0.08555118443797577,0.006390654007467406,-0.06764922034684051,recovery,0.09174125217511153,-0.06150289440587142,0.12127254452655054,True,40
48,4648,4648,4659,2011-10-11,2011-10-11,2011-10-26,12,12,0.3078194439667563,0.17835294395174578,-0.11371850258030902,0.9748104391345453,-0.049849564375141875,0.0634584245484413,-0.0680292147168647,mixed,0.05873036947120869,-0.028069654131788968,0.12263820197949081,True,40
49,4682,4682,4704,2011-11-29,2011-11-29,2011-12-30,10,23,0.2706291966438673,0.17982313054641327,-0.1085178163998547,0.9604076838713895,0.046039511612030626,0.003245413339337594,-0.0625206193063039,recovery,0.10500763284993697,0.00835463492073485,0.10782125278331123,True,40
50,4815,4815,4828,2012-06-11,2012-06-11,2012-06-28,5,14,0.1798307164700292,0.17844883102324033,-0.07349785643715478,1.0997415737087264,-0.028283798005876215,0.025549698457734,-0.0442504288913666,recovery,0.07329669922715132,0.004456294979570119,0.07164627238736021,True,40
51,5408,5408,5408,2014-10-20,2014-10-20,2014-10-20,1,1,0.1727793934407361,0.16919512016908014,-0.052671859326134385,0.6881161402667358,-0.1419598913066119,0.01530364793436861,-0.053318755952383196,recovery,0.03998911199878896,0.012559197277750567,0.06883695804793702,True,40
52,5625,5625,5639,2015-08-31,2015-08-31,2015-09-21,13,15,0.2716604891855252,0.16701809822257152,-0.07018191547163255,1.2337015899407995,-0.06996922288426016,0.041946634293540556,-0.11446036046031668,mixed,0.0506123215871499,-0.04392278136453143,0.10823212956677213,True,40
53,5651,5651,5655,2015-10-07,2015-10-07,2015-10-13,2,5,0.1734004857083007,0.16791192356529255,-0.05711881009163067,1.0162088769501356,-0.04843941322693801,0.03979628905891261,-0.043963701538897594,mixed,0.031091826407368073,-0.0006018862988421692,0.06908440713034687,True,40
54,5725,5725,5750,2016-01-25,2016-01-25,2016-03-01,14,26,0.2138460416770954,0.16803549122154335,-0.10542047099623753,0.9643218991734229,-0.06316177572852383,-0.0009056717694484948,-0.060388578947447695,recovery,0.09579355118286181,-0.025474323470047855,0.0851983023351265,True,40
55,5755,5755,5755,2016-03-08,2016-03-08,2016-03-08,1,1,0.1759317008694096,0.16874330811395988,-0.05412156123573342,0.521575839836296,-0.10560129330421399,0.001462876499278407,-0.04668936569465993,recovery,0.03864386690162691,0.004939638605909957,0.07009286738932632,True,40
56,6242,6242,6253,2018-02-12,2018-02-12,2018-02-28,6,12,0.2534058850443693,0.16232551922250443,-0.07411550106802078,1.3455014522339441,-0.008099155983820994,0.005327983318536221,-0.08889186426811407,mixed,-0.0019738698424708323,-0.025774426221285007,0.1009593211929109,True,40
57,6277,6277,6290,2018-04-04,2018-04-04,2018-04-23,13,14,0.2140190676189896,0.16314683639125188,-0.07664399549337364,1.0069923438782813,-0.1122597935534452,0.011294101421444122,-0.060704650078692274,mixed,0.028001166942334343,-0.014569593607302145,0.08526723752042949,True,40
58,6415,6415,6432,2018-10-18,2018-10-18,2018-11-12,9,18,0.1799578866046567,0.1618153722952563,-0.054258463544105684,1.1844554488690182,-0.06769464746508397,0.015422411788598728,-0.061521202060634675,relapse,-0.07612159459516199,-0.07612159459516199,0.07169693818174677,True,40
59,6467,6467,6479,2019-01-04,2019-01-04,2019-01-23,13,13,0.3012671542889019,0.1634698654121011,-0.13136746597537263,0.9851132901211016,-0.14673322734020544,0.017264525383748935,-0.08007668641903078,recovery,0.10551127583808118,0.007884525895548222,0.1200277072862848,True,40
60,6774,6774,6807,2020-03-25,2020-03-25,2020-05-12,27,34,0.9094129882929656,0.16169490859519656,-0.2662978443406444,0.7945336194702234,-0.6195141866973247,0.03376029360615363,-0.19807684979254148,mixed,0.1948618199657457,-0.002593619017290827,0.36231880710267883,True,40
61,6816,6816,6836,2020-05-26,2020-05-26,2020-06-23,11,21,0.2361677407903995,0.162872203870329,-0.11084087575200541,0.7313450162480661,-0.12735562549801097,0.013735610898217846,-0.03103474431514726,recovery,0.09769496790468368,0.0051158623692049154,0.09409148013151825,True,40
62,6842,6842,6848,2020-07-01,2020-07-01,2020-07-10,7,7,0.29467090231058,0.16356019415001152,-0.07276652738477363,0.8045321265978869,0.041016395892696206,0.020924775418357855,-0.05126081587269925,recovery,0.12176323886551454,0.005506801437788589,0.11739969759332851,True,40
63,6895,6895,6909,2020-09-16,2020-09-16,2020-10-06,8,15,0.2120747299443,0.16387800064705726,-0.052781682178345224,0.762997506979451,-0.2036274529104044,-0.0028585564740000527,-0.06888329386423905,recovery,0.05689746964933606,-0.043941445110408206,0.08449259484876426,True,40
64,7240,7240,7249,2022-01-28,2022-01-28,2022-02-10,3,10,0.1761533748040734,0.1629203617837629,-0.07485731467805523,1.1409681818661965,-0.017292258595787202,0.009023501189085053,-0.05885310401953405,relapse,0.03479221543439448,-0.05815125113773323,0.07018118439887762,True,40
65,7263,7263,7278,2022-03-03,2022-03-03,2022-03-24,8,16,0.2276616730342596,0.1634488369806278,-0.0879196343581663,1.0227048866203001,-0.009827189512256307,0.017152839245473554,-0.055656331642701444,mixed,-0.05147929247057659,-0.05147929247057659,0.09070258161982651,True,40
66,7283,7283,7295,2022-03-31,2022-03-31,2022-04-19,2,13,0.2304996252405558,0.1638953011499865,-0.051635774079515584,0.6915092041412156,-0.021040571897606303,0.002549534822350954,-0.040189454009442044,relapse,-0.08055081313534407,-0.1376761008975853,0.09183324884278947,True,40
67,7308,7308,7330,2022-05-06,2022-05-06,2022-06-08,12,23,0.2993251982392771,0.16428458110863223,-0.1362586875246692,1.1380486222284867,-0.0446334081852684,-0.001603131323051247,-0.06723845725243534,relapse,-0.06426471451308935,-0.10864489087105023,0.11925401347675763,True,40
68,7338,7338,7352,2022-06-21,2022-06-21,2022-07-12,13,15,0.3035928770456373,0.1651717621405406,-0.20901747838327667,1.036576903283268,-0.08400912819292827,0.004496770605232535,-0.10615196908385775,recovery,0.1375208969187589,-0.001813074733735598,0.12095429741169487,True,40
69,7392,7392,7395,2022-09-07,2022-09-07,2022-09-12,4,4,0.2098711211423826,0.1664176518472115,-0.1344422183989773,0.7653051929682467,-0.11963821432779562,-0.001080417653184753,-0.05661310282604216,relapse,-0.05372236647913975,-0.09994202464404545,0.08361465608748667,True,40
70,7423,7423,7437,2022-10-20,2022-10-20,2022-11-09,10,15,0.2795977758710039,0.1670144177863704,-0.1461220366276269,0.9612146920254802,-0.014232443775965609,-0.0015313733035744598,-0.06441678102896166,mixed,0.05369427965977147,0.015325464544395206,0.11139442027576314,True,40
71,7443,7443,7461,2022-11-17,2022-11-17,2022-12-14,10,19,0.2831733036911341,0.16750094602089188,-0.0787528878298055,0.4384976149545646,-0.30291632665430634,-0.0011406070261203607,-0.03311131970541206,mixed,-0.002414598342399654,-0.040204035506143154,0.1128189446571267,True,40
72,7468,7468,7481,2022-12-23,2022-12-23,2023-01-13,7,14,0.2093134508053907,0.16806752317437224,-0.10111874717910663,0.7837828744873254,-0.06678323332114999,-0.000939696668098065,-0.05020376482809276,recovery,0.04635560100370073,-0.01632250334766372,0.08339247490703672,True,40
73,7524,7524,7528,2023-03-17,2023-03-17,2023-03-23,2,5,0.1762839395152749,0.16834658694567783,-0.06070692064857253,1.1036532278051314,-0.006217138891177004,0.014326587070828935,-0.048399699499625866,recovery,0.05902722680716477,0.00543620484331564,0.07023320262494347,True,40
74,7876,7876,7876,2024-08-12,2024-08-12,2024-08-12,1,1,0.2103056070120914,0.16483407893106883,-0.055925121246920284,0.8745243017909922,-0.11016642091224149,0.03025047317380554,-0.06014135065750526,recovery,0.07811794269812111,0.013295187850840273,0.08378775940142916,True,40
75,8024,8024,8032,2025-03-17,2025-03-17,2025-03-27,9,9,0.2032275652272225,0.16397919389969015,-0.07469015161827719,0.9597474189150916,-0.0645299556840235,0.011651958101962637,-0.04238435281380666,relapse,0.037830031883415716,-0.12197223577089822,0.08096780005498264,True,40
76,8047,8047,8062,2025-04-17,2025-04-17,2025-05-09,14,16,0.5060683921488114,0.16446159958426626,-0.1385744016944428,0.4257732882076654,-0.6789300781246761,0.0034824656238408294,-0.12212414475110107,recovery,0.14488713223134364,-0.02380270712392807,0.20162247352537213,True,40
